concat,sunrise,sunset
201911,7.37,17.22
201912,7.38,17.23
201913,7.38,17.24
201914,7.38,17.25
201915,7.38,17.26
201916,7.38,17.26
201917,7.38,17.27
201918,7.38,17.28
201919,7.38,17.29
2019110,7.38,17.30
2019111,7.37,17.31
2019112,7.37,17.32
2019113,7.37,17.33
2019114,7.37,17.34
2019115,7.37,17.35
2019116,7.36,17.36
2019117,7.36,17.37
2019118,7.36,17.38
2019119,7.35,17.39
2019120,7.35,17.40
2019121,7.34,17.41
2019122,7.34,17.42
2019123,7.33,17.43
2019124,7.33,17.44
2019125,7.32,17.45
2019126,7.32,17.46
2019127,7.31,17.47
2019128,7.30,17.48
2019129,7.30,17.49
2019130,7.29,17.50
2019131,7.28,17.52
201921,7.27,17.53
201922,7.27,17.54
201923,7.26,17.55
201924,7.25,17.56
201925,7.24,17.57
201926,7.23,17.58
201927,7.22,17.59
201928,7.21,18.00
201929,7.20,18.01
2019210,7.19,18.02
2019211,7.18,18.03
2019212,7.17,18.04
2019213,7.16,18.05
2019214,7.15,18.06
2019215,7.14,18.07
2019216,7.13,18.08
2019217,7.12,18.09
2019218,7.11,18.10
2019219,7.09,18.11
2019220,7.08,18.12
2019221,7.07,18.13
2019222,7.06,18.14
2019223,7.05,18.15
2019224,7.03,18.16
2019225,7.02,18.17
2019226,7.01,18.18
2019227,6.59,18.19
2019228,6.58,18.20
201931,6.57,18.21
201932,6.55,18.22
201933,6.54,18.23
201934,6.53,18.24
201935,6.51,18.25
201936,6.50,18.25
201937,6.49,18.26
201938,6.47,18.27
201939,6.46,18.28
201941,7.13,19.48
201942,7.11,19.49
201943,7.10,19.50
201944,7.08,19.51
201945,7.07,19.51
201946,7.06,19.52
201947,7.04,19.53
201948,7.03,19.54
201949,7.01,19.55
2019410,7.00,19.56
2019411,6.59,19.57
2019412,6.57,19.57
2019413,6.56,19.58
2019414,6.55,19.59
2019415,6.53,20.00
2019416,6.52,20.01
2019417,6.51,20.02
2019418,6.49,20.02
2019419,6.48,20.03
2019420,6.47,20.04
2019421,6.45,20.05
2019422,6.44,20.06
2019423,6.43,20.07
2019424,6.42,20.08
2019425,6.40,20.08
2019426,6.39,20.09
2019427,6.38,20.10
2019428,6.37,20.11
2019429,6.36,20.12
2019430,6.35,20.13
201951,6.34,20.14
201952,6.32,20.14
201953,6.31,20.15
201954,6.30,20.16
201955,6.29,20.17
201956,6.28,20.18
201957,6.27,20.19
201958,6.26,20.20
201959,6.25,20.20
2019510,6.24,20.21
2019511,6.24,20.22
2019512,6.23,20.23
2019513,6.22,20.24
2019514,6.21,20.25
2019515,6.20,20.25
2019516,6.19,20.26
2019517,6.19,20.27
2019518,6.18,20.28
2019519,6.17,20.29
2019520,6.17,20.29
2019521,6.16,20.30
2019522,6.15,20.31
2019523,6.15,20.32
2019524,6.14,20.32
2019525,6.13,20.33
2019526,6.13,20.34
2019527,6.12,20.35
2019528,6.12,20.35
2019529,6.12,20.36
2019530,6.11,20.37
2019531,6.11,20.37
201961,6.10,20.38
201962,6.10,20.39
201963,6.10,20.39
201964,6.09,20.40
201965,6.09,20.40
201966,6.09,20.41
201967,6.09,20.42
201968,6.09,20.42
201969,6.09,20.43
2019610,6.08,20.43
2019611,6.08,20.43
2019612,6.08,20.44
2019613,6.08,20.44
2019614,6.08,20.45
2019615,6.08,20.45
2019616,6.08,20.45
2019617,6.09,20.46
2019618,6.09,20.46
2019619,6.09,20.46
2019620,6.09,20.47
2019621,6.09,20.47
2019622,6.09,20.47
2019623,6.10,20.47
2019624,6.10,20.47
2019625,6.10,20.47
2019626,6.11,20.47
2019627,6.11,20.48
2019628,6.11,20.48
2019629,6.12,20.48
2019630,6.12,20.48
201971,6.12,20.48
201972,6.13,20.47
201973,6.13,20.47
201974,6.14,20.47
201975,6.14,20.47
201976,6.15,20.47
201977,6.15,20.47
201978,6.16,20.46
201979,6.17,20.46
2019710,6.17,20.46
2019711,6.18,20.45
2019712,6.18,20.45
2019713,6.19,20.45
2019714,6.20,20.44
2019715,6.20,20.44
2019716,6.21,20.43
2019717,6.22,20.43
2019718,6.22,20.42
2019719,6.23,20.42
2019720,6.24,20.41
2019721,6.25,20.40
2019722,6.25,20.40
2019723,6.26,20.39
2019724,6.27,20.38
2019725,6.28,20.37
2019726,6.28,20.37
2019727,6.29,20.36
2019728,6.30,20.35
2019729,6.31,20.34
2019730,6.31,20.33
2019731,6.32,20.33
201981,6.33,20.32
201982,6.34,20.31
201983,6.35,20.30
201984,6.35,20.29
201985,6.36,20.28
201986,6.37,20.27
201987,6.38,20.26
201988,6.39,20.25
201989,6.39,20.24
2019810,6.40,20.22
2019811,6.41,20.21
2019812,6.42,20.20
2019813,6.43,20.19
2019814,6.43,20.18
2019815,6.44,20.17
2019816,6.45,20.15
2019817,6.46,20.14
2019818,6.47,20.13
2019819,6.47,20.12
2019820,6.48,20.10
2019821,6.49,20.09
2019822,6.50,20.08
2019823,6.51,20.07
2019824,6.51,20.05
2019825,6.52,20.04
2019826,6.53,20.03
2019827,6.54,20.01
2019828,6.54,20.00
2019829,6.55,19.58
2019830,6.56,19.57
2019831,6.57,19.56
201991,6.58,19.54
201992,6.58,19.53
201993,6.59,19.51
201994,7.00,19.50
201995,7.01,19.48
201996,7.01,19.47
201997,7.02,19.46
201998,7.03,19.44
201999,7.04,19.43
2019910,7.05,19.41
2019911,7.05,19.40
2019912,7.06,19.38
2019913,7.07,19.37
2019914,7.08,19.35
2019915,7.08,19.34
2019916,7.09,19.32
2019917,7.10,19.31
2019918,7.11,19.29
2019919,7.12,19.28
2019920,7.12,19.26
2019921,7.13,19.25
2019922,7.14,19.23
2019923,7.15,19.22
2019924,7.15,19.20
2019925,7.16,19.19
2019926,7.17,19.17
2019927,7.18,19.16
2019928,7.19,19.14
2019929,7.19,19.13
2019930,7.20,19.12
2019101,7.21,19.10
2019102,7.22,19.09
2019103,7.23,19.07
2019104,7.24,19.06
2019105,7.24,19.04
2019106,7.25,19.03
2019107,7.26,19.01
2019108,7.27,19.00
2019109,7.28,18.59
20191010,7.29,18.57
20191011,7.29,18.56
20191012,7.30,18.54
20191013,7.31,18.53
20191014,7.32,18.52
20191015,7.33,18.50
20191016,7.34,18.49
20191017,7.35,18.48
20191018,7.36,18.47
20191019,7.37,18.45
20191020,7.37,18.44
20191021,7.38,18.43
20191022,7.39,18.42
20191023,7.40,18.40
20191024,7.41,18.39
20191025,7.42,18.38
20191026,7.43,18.37
20191027,7.44,18.36
20191028,7.45,18.35
20191029,7.46,18.33
20191030,7.47,18.32
20191031,7.48,18.31
2019111,7.49,18.30
2019112,7.50,18.29
2019121,7.19,17.12
2019122,7.19,17.11
2019123,7.20,17.11
2019124,7.21,17.11
2019125,7.22,17.11
2019126,7.23,17.11
2019127,7.24,17.11
2019128,7.25,17.11
2019129,7.25,17.11
20191210,7.26,17.12
20191211,7.27,17.12
20191212,7.28,17.12
20191213,7.28,17.12
20191214,7.29,17.12
20191215,7.30,17.13
20191216,7.30,17.13
20191217,7.31,17.13
20191218,7.32,17.14
20191219,7.32,17.14
20191220,7.33,17.15
20191221,7.33,17.15
20191222,7.34,17.16
20191223,7.34,17.16
20191224,7.35,17.17
20191225,7.35,17.17
20191226,7.36,17.18
20191227,7.36,17.18
20191228,7.36,17.19
20191229,7.37,17.20
20191230,7.37,17.21
20191231,7.37,17.21
